respondent_state,investor_home_state,economic_sector,summary_of_dispute,amount_claimed_musd,year,"Primary - A - Agriculture, forestry and fishing",Primary - B - Mining and quarrying,Secondary - C - Manufacturing,"Tertiary - D - Electricity, gas, steam and air conditioning supply","Tertiary - E - Water supply; sewerage, waste management and remediation activities",Tertiary - F - Construction,Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,Tertiary - H - Transportation and storage,Tertiary - I - Accommodation and food service activities,Tertiary - J - Information and communication,Tertiary - K - Financial and insurance activities,Tertiary - L - Real estate activities,"Tertiary - M - Professional, scientific and technical activities",Tertiary - N - Administrative and support service activities,Tertiary - O - Public administration and defence; compulsory social security,Tertiary - Q - Human health and social work activities,"Tertiary - R - Arts, entertainment and recreation",Tertiary - S - Other service activities
POL,CYP,Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,"Claims arising out of a government agency’s imposition of a financial penalty on the claimant’s subsidiary JSE, which Polish administrative courts later overturned, and the government agency’s subsequent failure to repay accrued interest to the claimant upon the reimbursement of the penalty.",,2019,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
HRV,DEU,Tertiary - L - Real estate activities,Claims arising out of the alleged invalidation by Croatia’s courts of a transaction between the claimant’s father and the State relating to real estate assets on the grounds that the transaction was not carried out in conformity with local law.,,2019,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
ARG,NLD,Tertiary - K - Financial and insurance activities,"Claims arising out of the Government’s nationalization of the country’s private pension system in 2008, and the seizure of assets held by Orígenes, which subsequently entered into liquidation.",,2019,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
,CHE,"Tertiary - H - Transportation and storage;
Tertiary - F - Construction","Claims arising out of the EU’s actions related to the EU Gas Directive amendment of 2019 that impact new gas transmission lines to and from third countries and allegedly put the Nord Stream 2 gas pipeline project at a disadvantage, by treating it as ineligible for a derogation from the amended Directive that existing pipelines benefit from.",,2019,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
MEX,USA,Primary - B - Mining and quarrying,"Claims arising out of the decision by Mexico’s Ministry of the Environment and Natural Resources to deny environmental permits for the claimant’s seabed mining project in the local subsidiary’s concession area, offshore from the coast of Baja California Sur in Mexico. Allegedly, the Ministry’s decision disregarded scientific evidence provided by the claimant in the project development plan and environmental impact assessment.",,2019,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GEO,GBR,Secondary - C - Manufacturing,"Claims arising out of Government authorities’ measures to collect tax debt incurred by OGT, including a local court’s order allowing the seizure and sale of assets belonging to OGT and the claimant.",,2019,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARG,ESP,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2019,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PER,CHE,Tertiary - J - Information and communication,"Claims arising out of a 2001 judicial resolution placing Panamericana Televisión under temporary administration, suspending the rights of its shareholders as well as the exercise of the functions of its board of directors.",,2019,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
EGY,GBR,Primary - B - Mining and quarrying,"Claims arising out of the alleged failure of the Egyptian General Petroleum Company, a state-owned company, to pay debts owed to the claimants under gas sales agreements.",,2019,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROU,AUT,Secondary - C - Manufacturing,,,2019,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SAU,QAT,Secondary - C - Manufacturing,"Claims arising out of the alleged repudiation of long-term sales contracts concluded between Saudi Arabia’s Ministry of Health and the claimants, after Saudi Arabia suspended diplomatic relations with Qatar in 2017. According to the claimants, the Ministry’s measures included a failure to pay for products supplied by the claimants under these contracts and allegedly forced them to close their warehouses in the country.",,2019,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GEO,AUS,Primary - B - Mining and quarrying,"Claims arising out of the Government’s alleged wrongful termination of a production sharing contract with Strait Oil and Gas Limited for “block VIA”, an oil and gas project in Georgia in which the claimant held an indirect interest.",,2019,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LTU,RUS,Tertiary - K - Financial and insurance activities,"Claims arising out of the nationalization of Snoras bank in 2011 related to purported insolvency risks and suspected criminal activity, and the bank’s ensuing liquidation.",,2019,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TZA,NLD,Tertiary - K - Financial and insurance activities,,,2019,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ESP,BEL,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector.,,2019,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MAR,DEU,Secondary - C - Manufacturing,"Claims arising out of the Government’s alleged ban on the export of processed scrap metal to the EU and a ban on the import of certain steel, allegedly targeting the steel processing operations of the claimant’s local subsidiary in favour of a local competitor.",,2019,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TJK,AUT,"Primary - A - Agriculture, forestry and fishing","Claims arising out of a local bank’s non-payment of bank guarantees to the claimant, allegedly refusing to honour a commercial arbitration award in the claimant’s favour. According to the claimant, Agroinvestbank was involved as a guarantor in a transaction under a cotton purchase contract between the claimant’s company and a Tajik company, which had failed to deliver the purchased goods and to return money paid by the claimant.",,2019,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
COL,USA,Tertiary - F - Construction,"Claims arising out of the Government’s seizure of property acquired by the Royal Development Group and the suspension of construction works for the claimants’ “Meritage” real estate project on this property, as a result of claims that previous owners used it for criminal activity.",,2019,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
MKD,UKR,Primary - B - Mining and quarrying,"Claims arising out of the Government’s termination in March 2018 of the claimants’ concession for the exploitation of copper, gold and silver at the Kazandol deposit in southern Macedonia, allegedly related to environmental concerns.",,2019,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HRV,FRA,Tertiary - K - Financial and insurance activities,,,2019,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
DEU,AUT,"Tertiary - D - Electricity, gas, steam and air conditioning supply","Claims arising out of the Government’s legislative changes of its renewable energy regime, including for offshore wind energy production, which allegedly caused the claimants to abandon their offshore wind projects.",,2019,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KWT,EGY,Tertiary - F - Construction,,,2019,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
TZA,GBR,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Claims arising out of the alleged unilateral suspension by the state-owned Tanzania Electric Supply Company (Tanesco) in 2016 of a 15-year power purchase agreement purportedly signed in 2015 between Symbion Power Tanzania Limited and Tanesco.,,2019,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RUS,UKR,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Claims arising out of the alleged expropriation by the Russian Federation of the claimant’s electricity infrastructure facilities and transmission lines in Crimea.,,2019,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UKR,RUS,Tertiary - K - Financial and insurance activities,"Claims arising out of the Government’s alleged confiscation of shares held by the claimant, a state-owned Russian company, in its Ukrainian subsidiary Prominvestbank and the ban of the subsidiary’s business operations with the parent company.",,2019,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ESP,DEU,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector.,,2019,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAN,USA,Primary - B - Mining and quarrying,"Claims arising out of the decision of Alberta’s provincial government in 2015 to phase out coal-fired power plants in the province by 2030. The government allegedly failed to compensate the claimant for the early closure of its coal mining operations, excluding it from a compensation scheme made available to three local coal mining operators.",,2019,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VEN,NLD,"Primary - B - Mining and quarrying;
Tertiary - D - Electricity, gas, steam and air conditioning supply","Claims arising out of Venezuela’s alleged failure to comply with a 2012 settlement agreement of an earlier dispute with the claimants. The earlier dispute, discontinued in 2017, concerned the termination of claimants’ long-term contract with the national oil company PDVSA for gas compression and injection and gas supply in Venezuela, followed by the seizure of their assets under a nationalization decree.",,2019,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ECU,USA,Secondary - C - Manufacturing,,,2019,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VEN,PER,Tertiary - J - Information and communication,"Claims arising out of the Government’s alleged seizure of the claimant’s telecommunications company, including the eviction of the company’s employees from the property and the company’s placement under the control of a court-appointed audit board, due to alleged connections to criminal wrongdoing by third parties. According to the claimant, the company was transferred to private owners connected to the Government and subsequently dismantled.",,2018,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
BGR,MLT,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Claims arising out of a series of alleged harmful measures taken by the Government in relation to the claimant’s solar power plant.,,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
QAT,JOR,"Tertiary - J - Information and communication;
Tertiary - J - Information and communication","Claims arising out of the Government’s alleged non-payment of the claimants’ services to create television shows. According to the claimants, the Government also subsequently seized the claimants’ assets in the country.",,2018,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
CZE,ARE,Tertiary - L - Real estate activities,"Claims arising out of the alleged refusal of the City of Prague to conclude a lease agreement with the claimant’s former Czech subsidiary, Alcor CZ.",,2018,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
MEX,USA,Tertiary - N - Administrative and support service activities,"Claims arising out of the early termination of lease agreements by Petróleos Mexicanos (Pemex), a state-owned oil company, for five offshore oil drilling platforms owned by Oro Negro’s subsidiary which is controlled by the claimants.",,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
KWT,EGY,Tertiary - L - Real estate activities,Claims arising out of the Government’s alleged conduct preventing the claimant from taking ownership of land for a real estate development project under a joint venture investment agreement concluded by the claimant and a Kuwaiti national.,,2018,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
PAK,SAU,Secondary - C - Manufacturing,,,2018,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ROU,CYP,Tertiary - F - Construction,"Claims arising out of the Government’s alleged sequestration order placed on a land plot used by Băneasa Investments SA for commercial real estate development, and subsequent proceedings to seize the land relating to corruption charges.",,2018,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
COL,CAN,Primary - B - Mining and quarrying,Claims arising out of the Government’s alleged failure to address civil strikes and other disruptions to the claimant’s mining projects caused by illegal artisanal miners and a guerilla group.,,2018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TZA,ITA,Secondary - C - Manufacturing,,,2018,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VNM,KOR,Tertiary - L - Real estate activities,,,2018,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
RWA,USA,Primary - B - Mining and quarrying,Claims arising out of the revocation by the Government of the claimants’ mining licences and the subsequent award of the mining concession to a different company.,,2018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BOL,ESP,Tertiary - K - Financial and insurance activities,"Claims arising out of the Government’s alleged failure to agree on the terms for transferring pension fund administration from BBVA Previsión AFP to a public entity, following the 2010 enactment of a law that nationalized the country’s pension fund sector.",,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
SAU,QAT,Tertiary - J - Information and communication,"Claims arising out of government authorities’ alleged measures to stop the claimant’s broadcasting operations in the country, after Saudi Arabia suspended diplomatic relations with Qatar in 2017. This allegedly included the non-renewal of the claimant’s Pay TV broadcasting licence and the denial of licences required by the claimant’s subsidiary.",,2018,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ARM,USA; ARE,"Tertiary - H - Transportation and storage;
Tertiary - F - Construction",Claims arising out of the Government’s alleged breach of concession contracts granted to the claimants by turning to other companies for the implementation of the infrastructure projects.,,2018,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
COL,USA,Tertiary - K - Financial and insurance activities,"Claims arising out of the Government’s allegedly disproportionate and discriminatory measures against Banco Granahorrar, including placing the bank under new management and its ultimate nationalization in 1998, as well as the Colombian Constitutional Court’s 2014 decision that no compensation was due to the claimants.",,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
COL,USA,Tertiary - K - Financial and insurance activities,"Claims arising out of the Government’s allegedly disproportionate and discriminatory measures against Banco Granahorrar, including placing the bank under new management and its ultimate nationalization in 1998, as well as the Colombian Constitutional Court’s 2014 decision that no compensation was due to the claimant.",,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TUR,BEL,Tertiary - J - Information and communication,"Claims arising out of the Government’s measures in relation to the claimant’s newspaper distribution company, including charging the company’s general manager with terrorism and coup-plotting, seizing the company and placing it under State control.",,2018,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
PER,ARG,"Tertiary - F - Construction;
Tertiary - H - Transportation and storage","Claims arising out of Peru’s cancellation of a contract to design, build and operate a new airport.",,2018,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
MAR,SWE,Secondary - C - Manufacturing,"Claims arising out of the alleged unfair treatment of SAMIR, a local company majority owned by the claimant, including the seizure of its bank accounts and the prevention of oil tankers from docking and unloading cargo.",,2018,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BLR,NLD,Tertiary - K - Financial and insurance activities,"Claims arising out of the revocation by the Central Bank of Belarus of Delta Bank’s operating licence, on the grounds that the bank was no longer meeting its obligations to depositors and creditors.",,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
MUS,FRA,Tertiary - Q - Human health and social work activities,"Claims arising out of the termination by the Government of the claimants’ project to open a new medical laboratory, after the Government had initially approved the project.",,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
RUS,UKR,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Claims arising out of the alleged expropriation of the claimant’s electricity distribution business in the Crimea region by the Russian Federation.,,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ESP,CHE,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EST,USA,Tertiary - H - Transportation and storage,"Claims arising out of the Government’s alleged interference with the claimant’s investment in the port of Lennusadam, including the invalidation by Estonian courts of the property title to the port, seizure of the claimant’s assets and criminal prosecution of the claimant’s officers.",,2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
EGY,AUS,Primary - B - Mining and quarrying,Claims arising out of the Egyptian authorities’ allegedly illegal measures to gain control of the claimants’ licences for the exploitation of a tantalum and tin mine.,,2018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PER,ESP,Tertiary - F - Construction,Claims arising out of Peru’s cancellation of a concession contract to build a natural gas pipeline.,,2018,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
AZE,TUR,Tertiary - F - Construction,Claims arising out of Azerbaijani water and tax authorities’ alleged unfair treatment and indirect expropriation of the claimant’s investment in a tunnel construction project.,,2018,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
ESP,DNK,"Tertiary - D - Electricity, gas, steam and air conditioning supply","Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers.",,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
POL,AUT; CYP; CZE; CHE,Primary - B - Mining and quarrying,"Claims arising out of Government authorities’ alleged arbitrary and discriminatory conduct in administrative proceedings to grant licenses for the claimants’ gas exploration and mining projects. According to the claimants, Government authorities caused unjustified delays that resulted in the bankruptcy and shutdown of Blue Gas subsidiaries.",,2018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CZE,DEU,Tertiary - N - Administrative and support service activities,Claims arising out of the Government’s measures related to the alleged crowding out of the claimant’s investment in the CK Fischer travel agency.,,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
COL,CAN,Primary - B - Mining and quarrying,"Claims arising out of the Colombian Constitutional Court's decision to ban mining operations in the páramos, a range of high-altitude wetlands that serve as a primary source of the country’s water supply.",,2018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LBY,FRA,Tertiary - L - Real estate activities,,,2018,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
LBY,,Tertiary - L - Real estate activities,,,2018,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
UKR,RUS,"Tertiary - D - Electricity, gas, steam and air conditioning supply","Claims arising out of a multi-billion dollar fine imposed on the claimant by Ukraine’s Antimonopoly Committee in 2016 for violation of competition laws. Allegedly, subsequent enforcement actions included the forced sale of the claimant’s shares in a company.",,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ESP,MEX,Tertiary - K - Financial and insurance activities,"Claims arising out of the Government’s withdrawal of significant amounts of deposits from Banco Popular. The authorities allegedly refused to provide financial support during the Bank’s ensuing liquidity crisis in 2017, which led to the Bank’s forced resolution and sale to a Spanish bank – the sole bidder in the auction – for one euro.",,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
BLR,RUS,Secondary - C - Manufacturing,,,2018,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SAU,DEU,Tertiary - F - Construction,"Claims arising out of the Government’s cancellation of a contract to expand the airport in Riyadh, and the subsequent reassignment of the project to a different joint venture.",,2018,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
GEO,USA,Tertiary - L - Real estate activities,"Claims arising out of alleged measures by Georgian courts and government officials to delay and halt the claimant’s project to construct a commercial-residential apartment complex in the city center of Tbilisi. Allegedly, this included attempts by local opposition to take over the claimant’s land plot, harassment of the claimant’s employees and a refusal to issue construction permits.",,2018,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
EGY,KWT,Tertiary - F - Construction,,,2018,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
POL,USA,"Tertiary - D - Electricity, gas, steam and air conditioning supply","Claims arising out of the Government’s conduct adversely affecting the claimant’s wind energy projects, including termination by Polish State-owned companies of long-term energy contracts concluded with the claimant.",,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HND,PAN,Tertiary - K - Financial and insurance activities,"Claims arising out of the Government’s seizure and forced liquidation of Banco Continental, S.A., held by the claimant as part of Grupo Continental’s conglomerate, due to alleged connections to money laundering and narcotics trafficking. The Government also allegedly placed other companies in the group’s various industry branches under administration.",,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TUR,GBR,"Primary - B - Mining and quarrying;
Tertiary - J - Information and communication","Claims arising out of certain measures taken by the Government against the Koza Group of companies on the basis of their alleged involvement in financing terrorism, including the seizure of assets and the placement of Koza companies under the control of trustees.",,2018,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ESP,JPN,"Tertiary - D - Electricity, gas, steam and air conditioning supply","Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers.",,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GTM,USA,Primary - B - Mining and quarrying,"Claims arising out of Guatemalan courts’ suspension of Exmingua’s mining licences for the “El Tambor” project and the company’s right to export minerals, related to amparo actions for alleged failure to conduct consultations with local communities. According to the claimants, the Government has also failed to provide Exmingua with access to the “Santa Margarita” mining site, which was blocked by protesters.",,2018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
VEN,BEL; NLD; ESP,Secondary - C - Manufacturing,"Claims arising out of the Government’s seizure of the claimants’ factory, following the claimants’ decision to suspend business operations in Venezuela.",,2018,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LKA,MYS,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Claims arising out of the Government’s cancellation of a wind and solar hybrid power plant project in which the claimant had invested.,,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HRV,CAN,Tertiary - L - Real estate activities,"Claims arising out of the Government’s alleged measures to prevent the claimant from obtaining ownership over several formerly socially-owned real estate properties in Croatia, mostly located on the Adriatic coast. According to the claimant, it acquired the real estate from Serbian companies via two local subsidiaries.",,2018,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
KWT,RUS,Tertiary - K - Financial and insurance activities,"Claims arising out of a series of measures by Kuwaiti authorities, including the allegedly unsubstantiated charges against the claimant, her harassment, improper detention and the allegedly wrongful 10-year imprisonment, which inter alia decreased the value of the claimant’s investment.",,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
DOM,JAM,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",Claims arising out of the Government’s termination of a concession for the operation of a waste facility owned by the claimant’s subsidiary and the alleged illegal expropriation of the landfill site.,,2018,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
BGR,ISR,Tertiary - L - Real estate activities,"Claims arising out of the Government’s alleged seizure of “Vitosha Village”, a luxury gated community development in a suburb of Sofia in which the claimants had invested. According to the claimants, a local court had wrongfully declared their local company bankrupt due to alleged debt owed to a contractor and ordered the liquidation of the attached property through a court-appointed administrator.",,2018,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
ROU,AUT; CYP; DEU; NLD,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Claims arising out of certain changes to Romania’s incentive scheme for investments in the renewable energy sector.,,2018,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BLR,RUS,Tertiary - F - Construction,"Claims arising out of the Government’s termination of a 2003 investment agreement to develop land in Minsk for the construction of a luxury hotel, upon vacating the area from a trolley bus parking facility and rebuilding it on the city outskirts. Challenged measures also include the alleged confiscation of the relocated facility by the Government in order to cover a USD 20 million tax debt imposed on the claimant.",,2018,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
KOR,USA,Tertiary - K - Financial and insurance activities,"Claims arising out of senior government officials’ alleged measures to enable a merger of Samsung C&T with a Samsung affiliate, Cheil Industries Incorporated (“Cheil”), on terms favourable to a large domestic Cheil shareholder. This was allegedly done by substantially undervaluing Samsung C&T and caused losses to the claimants’ shareholding.",,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
TKM,RUS,Tertiary - J - Information and communication,Claims arising out of alleged actions by the Government and state-owned entities that forced the claimant’s subsidiary to suspend its business operations in the country.,,2018,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
MNG,GBR; AUS,Primary - B - Mining and quarrying,"Claims arising out of the claimant’s detention in Mongolia on fraud charges, the freezing of Gobi Coal’s assets and suspension of its licences by the Government.",,2018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GAB,ARE,Primary - B - Mining and quarrying,Claims arising out of the Government’s alleged expropriation of a mining concession for a Manganese deposit in the city of Okondja in eastern Gabon.,,2018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CYP,BLR,Tertiary - K - Financial and insurance activities,,,2018,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
UKR,EST,"Tertiary - R - Arts, entertainment and recreation","Claims arising out of the Government’s ban on gambling in 2009, which revoked operators’ licenses for gambling activities and resulted in the bankruptcy of the claimant’s local subsidiaries.",,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
BOL,USA,Primary - B - Mining and quarrying,Claims arising out of the Government’s alleged interference with and illegal expropriation of the claimants’ two mining concessions in Antequera. A state-owned mining company also allegedly conducted illegal mining activities within the claimants’ concession area and was granted concessions partly overlapping with the claimants’ pre-existing mining rights.,,2018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEX,SGP,Tertiary - N - Administrative and support service activities,"Claims arising out of certain actions by Mexican authorities that prevented the claimant and its subsidiaries from continuing to charter vessels to Pemex, Mexico’s national oil and gas company, thereby allegedly destroying the claimant’s investment.",,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
SRB,CAN; CYP,"Primary - A - Agriculture, forestry and fishing","Claims arising out of a state agency’s 2015 termination of an agreement for the privatization of BD Agro concluded with a Serbian buyer after a public auction in 2005. According to the claimants, the termination involved the subsequent seizure of majority shares in BD Agro held by the Serbian buyer, which were beneficially owned by the claimants. The state agency’s actions allegedly led to BD Agro’s bankruptcy in 2016.",,2018,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DOM,ESP,Tertiary - N - Administrative and support service activities,,,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
COL,CAN,Primary - B - Mining and quarrying,"Claims arising out of the Colombian Constitutional Court's decision to ban mining operations in the páramos, a range of high-altitude wetlands that serve as a primary source of the country’s water supply.",,2018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PER,USA,Primary - B - Mining and quarrying,"Claims arising out of the Government’s alleged imposition of additional environmental obligations related to the La Oroya mining operations in which the claimant’s affiliate Doe Rue Peru held interests and the Government’s refusal to grant reasonable extensions to complete environmental projects at the site, allegedly forcing the company to cease operations, followed by bankruptcy and liquidation.",,2018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KGZ,RUS,"Tertiary - D - Electricity, gas, steam and air conditioning supply;
Tertiary - F - Construction","Claims arising out of the Government’s termination of an intergovernmental agreement for the construction and operation of the Upper-Naryn hydroelectric power plants, in which the claimant participated as a joint venture partner, and alleged failure to reimburse the claimant for costs incurred related to the construction project.",,2018,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
PAN,ESP,Tertiary - F - Construction,"Claims arising out of the Panama Canal Authority’s (ACP) alleged breaches of the contract signed with the GUPC consortium led by the claimant for the construction of the third set of locks of the Panama Canal, including ACP’s alleged failure to co-finance extra costs incurred by the consortium.",,2018,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
DZA,FRA,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",,,2018,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
KOR,CHE,Secondary - C - Manufacturing,"Claims arising out of the government authorities’ alleged failure to exercise financial oversight related to Hyundai Elevator’s share capital increases and other measures taken by the controlling shareholders, including the ultimate use of the corporate funds. Such actions allegedly caused significant impairments to the claimant’s participation rights in Hyundai Elevator as the second largest shareholder.",,2018,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TKM,TUR,Tertiary - F - Construction,"Claims arising out of the Government’s termination of construction contracts with the claimant, non-payment of fees and harassment of the claimant’s employees, including by means of travel bans.",,2018,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
KOR,USA,Tertiary - L - Real estate activities,Claims arising out of the allegedly insufficient amount of compensation set by the Government for the claimant’s real estate property that had been expropriated following the municipal government’s designation of the relevant area for redevelopment.,,2018,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
LBY,IND,Tertiary - F - Construction,"Claims arising out of the suspension of the claimant’s operations due to civil unrest in Libya since February 2011, after the claimant had been awarded a contract by the Government for a housing development project and started construction activities in 2009.",,2018,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
